beer_name,beer_style,abv,ibu,brewery_name,brewery_location
Hop Explosion,IPA,6.5,65,Mountain Brew Co,Denver CO
Dark Night,Stout,7.2,45,City Brewing,Portland OR
Golden Sunset,Lager,4.8,20,Coastal Ales,San Diego CA
Citrus Burst,IPA,6.8,70,Hop Heaven,Seattle WA
Midnight Porter,Porter,5.5,35,Dark Arts Brewery,Austin TX
Wheat Dream,Wheat Beer,5.0,15,Grain & Grapes,Milwaukee WI
Triple Threat,Tripel,9.0,30,Belgian Brothers,Chicago IL
Session Hero,Session IPA,4.2,40,Easy Drinker Co,Boston MA
Imperial Darkness,Imperial Stout,10.5,80,Heavy Hitters,New York NY
Pale Rider,Pale Ale,5.5,45,Classic Brewing,Philadelphia PA
Hazy Days,Hazy IPA,7.0,50,Modern Craft,Los Angeles CA
Coffee Stout,Stout,6.5,40,Bean & Barley,Seattle WA
Pilsner Perfect,Pilsner,5.2,35,Czech Mates,Denver CO
Saison Summer,Saison,6.0,25,Farmhouse Brewing,Portland OR
Red October,Red Ale,5.8,30,Revolution Ales,Chicago IL
Double Down,Double IPA,8.5,90,Hop Heaven,Seattle WA
Sour Power,Sour,4.5,10,Wild Things,San Diego CA
Brown Beauty,Brown Ale,5.5,25,Traditional Brew,Boston MA
Blonde Bombshell,Blonde Ale,5.0,18,Beach Brewing,Miami FL
Barley Wine Bliss,Barleywine,11.0,75,Time Keeper Ales,Portland OR
West Coast Crusher,IPA,7.2,75,Coastal Ales,San Diego CA
Milk Stout Magic,Milk Stout,5.8,30,Sweet & Dark,Austin TX
Amber Waves,Amber Ale,6.0,35,Grain Fields Brewing,Kansas City MO
Tropical Thunder,IPA,6.5,60,Island Hops,Honolulu HI
Belgian Bliss,Belgian Ale,7.5,28,Old World Brewing,Chicago IL
Rye Rebellion,Rye Beer,5.5,40,Spice Route Ales,Denver CO
Vienna Lager,Vienna Lager,5.3,22,Classic Continental,Milwaukee WI
Oatmeal Express,Oatmeal Stout,6.0,38,Morning Brew,Seattle WA
Grapefruit IPA,IPA,6.2,55,Citrus Grove Brewing,Phoenix AZ
Chocolate Porter,Porter,6.5,32,Dessert Beers Inc,Portland OR
Hefeweizen Heaven,Hefeweizen,5.2,12,Bavarian Brothers,Chicago IL
English Bitter,English Bitter,4.5,35,Pub Brewing Co,Boston MA
Cream Ale Classic,Cream Ale,5.0,15,Smooth Operators,Nashville TN
Black IPA,Black IPA,6.8,70,Dark Hop Co,Portland OR
Scotch Ale Supreme,Scotch Ale,8.0,25,Highland Brewing,Denver CO
Fruit Punch Sour,Sour,4.2,8,Tart & Sweet,San Diego CA
Pumpkin Spice Porter,Porter,6.0,20,Seasonal Specialists,Boston MA
Coconut Stout,Stout,6.5,30,Tropical Dark Ales,Miami FL
Lime Lager,Lager,4.5,18,Beach Life Brewing,Los Angeles CA
Honey Blonde,Blonde Ale,5.5,16,Meadow Brewing,Austin TX
Chili Beer,Specialty,5.0,25,Spicy Brews,Phoenix AZ
Raspberry Wheat,Wheat Beer,4.8,12,Berry Good Brewing,Portland OR
Maple Syrup Stout,Stout,7.0,35,Canadian Craft,Seattle WA
Jalapeño IPA,IPA,6.0,50,Hot Hops Brewing,San Antonio TX
Vanilla Porter,Porter,5.8,28,Flavor Factory,Chicago IL
Mango IPA,IPA,6.5,45,Fruit Forward Ales,Miami FL
Irish Red,Irish Red,5.2,22,Celtic Brewing,Boston MA
Kölsch Klassic,Kölsch,4.8,20,German Heritage Ales,Milwaukee WI
Smoked Porter,Porter,6.2,30,Fire & Smoke Brewing,Austin TX
Peach Wheat,Wheat Beer,5.0,15,Orchard Ales,Denver CO
Blackberry Sour,Sour,4.5,10,Wild Berries Brewing,Portland OR
Caramel Brown,Brown Ale,5.5,25,Sweet Malt Co,Chicago IL
Espresso Stout,Stout,7.5,42,Coffee House Ales,Seattle WA
Cucumber Lager,Lager,4.2,12,Garden Fresh Brewing,San Diego CA
Apricot Ale,Fruit Beer,5.5,18,Stone Fruit Ales,Denver CO
Blood Orange IPA,IPA,6.8,65,Citrus Explosion,Phoenix AZ
Cherry Chocolate Stout,Stout,7.0,38,Decadent Brews,Portland OR
Hibiscus Saison,Saison,5.8,20,Floral Farmhouse,Austin TX
Pine Cone IPA,IPA,7.0,70,Forest Brewing Co,Seattle WA
Watermelon Wheat,Wheat Beer,4.5,10,Summer Refreshers,Miami FL
